eu4_area;internal_key;display_name;hoi4_state_id;hoi4_state_name;province_count
1;fu_state_area_831;Jorviland;831;Jorviland;4
2;fu_state_area_966;Meogartha;966;Meogartha;1
3;fu_state_area_408;Gatzostad;408;Gatzostad;5
4;fu_state_area_280;South Ibrumore;280;South Ibrumore;3
5;fu_state_area_261;Tyurna;261;Tyurna;5
6;fu_state_area_965;Western Altairyu;965;Western Altairyu;6
7;fu_state_area_29;Meo;29;Meo;4
8;fu_state_area_405;Hallien;405;Hallien;5
9;fu_state_area_637;Mogiluff;637;Mogiluff;6
10;fu_state_area_798;Kaparus;798;Kaparus;6
11;fu_state_area_801;Maritipia;801;Maritipia;7
12;fu_state_area_204;Meowjave;204;Meowjave;6
13;fu_state_area_745;Yarnington;745;Yarnington;5
14;fu_state_area_811;Thalmandy;811;Thalmandy;5
15;fu_state_area_518;Kibblestadt;518;Kibblestadt;7
16;fu_state_area_303;Midi-Sunazure;303;Midi-Sunazure;4
17;fu_state_area_896;Southern New Kastra;896;Southern New Kastra;5
18;fu_state_area_327;Northern Solity;327;Northern Solity;5
19;fu_state_area_382;Miauwhattan;382;Miauwhattan;7
20;fu_state_area_245;Neustruken;245;Neustruken;5
21;fu_state_area_741;Ucétie;741;Ucétie;7
22;fu_state_area_12;Western Pawldrininsel;12;Western Pawldrininsel;4
23;fu_state_area_398;Kàpabùn;398;Kàpabùn;5
24;fu_state_area_396;Aaptun;396;Aaptun;8
25;fu_state_area_325;Midi-Vidanie;325;Midi-Vidanie;5
26;fu_state_area_1003;Azzukhad;1003;Azzukhad;5
27;fu_state_area_1444;Kibblekatz;1444;Kibblekatz;5
28;fu_state_area_605;Alabaster;605;Alabaster;4
29;fu_state_area_443;Tempere;443;Tempere;5
30;fu_state_area_286;Wome;286;Wome;3
31;fu_state_area_739;Qualicie;739;Qualicie;7
32;fu_state_area_158;Cize;158;Cize;7
33;fu_state_area_342;Ornistralia;342;Ornistralia;5
34;fu_state_area_372;Southumberland;372;Southumberland;7
35;fu_state_area_1311;Ciptol;1311;Ciptol;1
36;fu_state_area_467;Broukburn;467;Broukburn;7
37;fu_state_area_467_2;Broukburn;467;Broukburn;5
38;fu_state_area_467_3;Broukburn;467;Broukburn;7
39;fu_state_area_1158;South Latarada;1158;South Latarada;5
40;fu_state_area_364;Baltiquie Superieure;364;Baltiquie Superieure;3
41;fu_state_area_483;Tanba;483;Tanba;7
42;fu_state_area_1156;South Démotagne;1156;South Démotagne;5
43;fu_state_area_1504;Ameowzonia;1504;Ameowzonia;4
44;fu_state_area_820;Greater Solity;820;Greater Solity;4
45;fu_state_area_223;Petite Qualie;223;Petite Qualie;1
46;fu_state_area_1034;Reuniocelie Centrale;1034;Reuniocelie Centrale;3
47;fu_state_area_420;Western Hushed Forest;420;Western Hushed Forest;6
48;fu_state_area_992;Rattlecoast;992;Rattlecoast;6
49;fu_state_area_347;Tak-Icar;347;Tak-Icar;4
50;fu_state_area_312;Dogeheit;312;Dogeheit;7
51;fu_state_area_898;Narnburg;898;Narnburg;4
52;fu_state_area_50;Katucky;50;Katucky;4
53;fu_state_area_326;Lisejr Metroplitan Area;326;Lisejr Metroplitan Area;4
54;fu_state_area_1150;Far North Southern Stollparche;1150;Far North Southern Stollparche;4
55;fu_state_area_547;Lyuinwald;547;Lyuinwald;4
56;fu_state_area_732;Oueston;732;Oueston;5
57;fu_state_area_13;Meowenberg;13;Meowenberg;7
58;fu_state_area_39;Wachatgon;39;Wachatgon;4
59;fu_state_area_1163;North Southern Stollparche;1163;North Southern Stollparche;4
60;fu_state_area_339;Battlebuns Frontier;339;Battlebuns Frontier;5
61;fu_state_area_1308;North Fleatherwing;1308;North Fleatherwing;5
62;fu_state_area_240;Wolfen's Coast;240;Wolfen's Coast;4
63;fu_state_area_882;Lowcoast;882;Lowcoast;8
64;fu_state_area_721;Ailesainque;721;Ailesainque;4
65;fu_state_area_652;Pawllington;652;Pawllington;3
66;fu_state_area_42;Katalonia;42;Katalonia;3
67;fu_state_area_792;Filosimpàra;792;Filosimpàra;5
68;fu_state_area_661;Nordansicht;661;Nordansicht;5
69;fu_state_area_1369;East Hoxxhagen Surface Zone;1369;East Hoxxhagen Surface Zone;3
70;fu_state_area_193;Far West Southern Stollparche;193;Far West Southern Stollparche;4
71;fu_state_area_174;Gepardien;174;Gepardien;7
72;fu_state_area_570;Rosestadt;570;Rosestadt;6
73;fu_state_area_1315;East Hissity;1315;East Hissity;6
74;fu_state_area_328;Inner Solity;328;Inner Solity;8
75;fu_state_area_668;Eastern Pawldrinsel;668;Eastern Pawldrinsel;4
76;fu_state_area_809;Heldford;809;Heldford;5
77;fu_state_area_1154;West Southern Stollparche;1154;West Southern Stollparche;4
78;fu_state_area_8;Mewsinki;8;Mewsinki;3
79;fu_state_area_742;Styvellines;742;Styvellines;6
80;fu_state_area_817;Iron Mounts;817;Iron Mounts;5
81;fu_state_area_1160;Near West Petite Qualie;1160;Near West Petite Qualie;6
82;fu_state_area_115;Süd-Auralien;115;Süd-Auralien;6
83;fu_state_area_385;Françaslien;385;Françaslien;5
84;fu_state_area_583;Punchiestadt;583;Punchiestadt;5
85;fu_state_area_567;Middenpaw;567;Middenpaw;5
86;fu_state_area_218;Jarvalin;218;Jarvalin;5
87;fu_state_area_528;White Peaks Valley;528;White Peaks Valley;5
88;fu_state_area_904;Sumadikat;904;Sumadikat;6
89;fu_state_area_32;Bamsens Dock;32;Bamsens Dock;4
90;fu_state_area_1159;South Cularie;1159;South Cularie;7
91;fu_state_area_989;Hissity;989;Hissity;7
92;fu_state_area_1427;Kaiserburg;1427;Kaiserburg;6
93;fu_state_area_38;Meowdeburg;38;Meowdeburg;7
94;fu_state_area_1347;Ottenon;1347;Ottenon;6
95;fu_state_area_161;Vhi Gherizad;161;Vhi Gherizad;5
96;fu_state_area_1307;South Fleatherwing;1307;South Fleatherwing;6
97;fu_state_area_608;Kobalt;608;Kobalt;5
98;fu_state_area_233;Northern Nekaston;233;Northern Nekaston;5
99;fu_state_area_431;Port Ravke;431;Port Ravke;5
100;fu_state_area_565;Magnetischergeschwollen;565;Magnetischergeschwollen;5
101;fu_state_area_365;Lesser Lake;365;Lesser Lake;6
102;fu_state_area_188;Bramble Wastes;188;Bramble Wastes;6
103;fu_state_area_1345;Taupwald;1345;Taupwald;7
104;fu_state_area_1346;Loudennes;1346;Loudennes;5
105;fu_state_area_791;Grande Loutteria;791;Grande Loutteria;4
106;fu_state_area_74;Dascinder;74;Dascinder;5
107;fu_state_area_1128;Port Moll;1128;Port Moll;5
108;fu_state_area_302;Grünfeld;302;Grünfeld;7
109;fu_state_area_145;Near North Ezicania Pass;145;Near North Ezicania Pass;6
110;fu_state_area_589;Batar;589;Batar;5
111;fu_state_area_1433;Wafburg;1433;Wafburg;4
112;fu_state_area_1016;Roquestrie;1016;Roquestrie;4
113;fu_state_area_974;Godreim;974;Godreim;5
114;fu_state_area_1460;Frankfurr;1460;Frankfurr;5
115;fu_state_area_477;Kattail;477;Kattail;4
116;fu_state_area_127;Southern Ezicania;127;Southern Ezicania;5
117;fu_state_area_141;Ezicania Pass;141;Ezicania Pass;4
118;fu_state_area_73;Infernum's Castle;73;Infernum's Castle;4
119;fu_state_area_1043;Lorisgrad;1043;Lorisgrad;5
120;fu_state_area_31;Meop;31;Meop;7
121;fu_state_area_1453;Taikara;1453;Taikara;5
122;fu_state_area_363;Frontiere Solarienne;363;Frontiere Solarienne;4
123;fu_state_area_527;North Katzil;527;North Katzil;6
124;fu_state_area_96;Copper-Match;96;Copper-Match;5
125;fu_state_area_1467;Stokoslat;1467;Stokoslat;5
126;fu_state_area_595;Yarnis Bergen;595;Yarnis Bergen;3
127;fu_state_area_488;Mielstadt;488;Mielstadt;6
128;fu_state_area_25;Clawtoust;25;Clawtoust;6
129;fu_state_area_880;Velthordshire;880;Velthordshire;6
130;fu_state_area_270;Mewmewmew;270;Mewmewmew;7
131;fu_state_area_95;Altenkat;95;Altenkat;6
132;fu_state_area_906;Chesedgrad;906;Chesedgrad;5
133;fu_state_area_211;Near East Southern Stollparche;211;Near East Southern Stollparche;5
134;fu_state_area_205;West Petite Qualie;205;West Petite Qualie;4
135;fu_state_area_205_2;West Petite Qualie;205;West Petite Qualie;1
136;fu_state_area_585;Neu-Loris;585;Neu-Loris;6
137;fu_state_area_1013;Southern Venusia;1013;Southern Venusia;6
138;fu_state_area_587;Katza;587;Katza;6
139;fu_state_area_777;Nordbun;777;Nordbun;8
140;fu_state_area_746;Rowotnik;746;Rowotnik;5
141;fu_state_area_437;Greater Solstice;437;Greater Solstice;5
142;fu_state_area_437_2;Greater Solstice;437;Greater Solstice;5
143;fu_state_area_441;Antarctic Canal Zone;441;Antarctic Canal Zone;3
144;fu_state_area_1543;Kronkozavodsk;1543;Kronkozavodsk;6
145;fu_state_area_1144;Far North Great Hill;1144;Far North Great Hill;5
146;fu_state_area_1144_2;Far North Great Hill;1144;Far North Great Hill;6
147;fu_state_area_394;Katjeisland;394;Katjeisland;5
148;fu_state_area_383;Collines Chaudiere;383;Collines Chaudiere;4
149;fu_state_area_602;Eliottown;602;Eliottown;6
150;fu_state_area_969;Mount Izwae;969;Mount Izwae;5
151;fu_state_area_797;Indsitra;797;Indsitra;5
152;fu_state_area_475;Ataril;475;Ataril;7
153;fu_state_area_297;Aurleans;297;Aurleans;6
154;fu_state_area_1542;Lower Kronkia 13;1542;Lower Kronkia 13;6
155;fu_state_area_597;Sudflutstadt;597;Sudflutstadt;6
156;fu_state_area_730;Celestadt;730;Celestadt;7
157;fu_state_area_389;Watlern;389;Watlern;5
158;fu_state_area_352;Platéire;352;Platéire;5
159;fu_state_area_1465;Pawmur;1465;Pawmur;5
160;fu_state_area_386;Neu-Meownich;386;Neu-Meownich;5
161;fu_state_area_532;Drakenburg;532;Drakenburg;5
162;fu_state_area_256;Louquio;256;Louquio;7
163;fu_state_area_348;Euenum;348;Euenum;5
164;fu_state_area_553;Mewdu Mush;553;Mewdu Mush;6
165;fu_state_area_1289;Wybrezacho;1289;Wybrezacho;5
166;fu_state_area_51;Pierwysp;51;Pierwysp;4
167;fu_state_area_177;Katkenstein;177;Katkenstein;6
168;fu_state_area_1551;Yinsk;1551;Yinsk;6
169;fu_state_area_58;Purrsen;58;Purrsen;8
170;fu_state_area_577;Pawrdeaux;577;Pawrdeaux;6
171;fu_state_area_645;Mewssy;645;Mewssy;6
172;fu_state_area_899;Havener;899;Havener;7
173;fu_state_area_1253;Urscid Hollows;1253;Urscid Hollows;6
174;fu_state_area_568;Finstratus;568;Finstratus;8
175;fu_state_area_1506;Lower Neminia 7;1506;Lower Neminia 7;4
176;fu_state_area_755;Buncible;755;Buncible;7
177;fu_state_area_6;Pico;6;Pico;2
178;fu_state_area_17;Laurnsums Docks;17;Laurnsums Docks;7
179;fu_state_area_17_2;Laurnsums Docks;17;Laurnsums Docks;5
180;fu_state_area_964;Plavetan Range;964;Plavetan Range;6
181;fu_state_area_189;Centralia;189;Centralia;7
182;fu_state_area_59;Qaradel Tas;59;Qaradel Tas;6
183;fu_state_area_1421;Pérolville;1421;Pérolville;6
184;fu_state_area_1021;Interfleuvie;1021;Interfleuvie;6
185;fu_state_area_525;Northeastern Grand Hills;525;Northeastern Grand Hills;8
186;fu_state_area_1498;Far West Praw 14;1498;Far West Praw 14;6
187;fu_state_area_341;Izwivin;341;Izwivin;6
188;fu_state_area_543;Katnover;543;Katnover;7
189;fu_state_area_915;Hoffstadt;915;Hoffstadt;5
190;fu_state_area_538;Melcey;538;Melcey;5
