eu4_province;name;hoi4_state_id;hoi4_state_name;state_purity;hoi4_strategic_region_id;hoi4_strategic_region_name
1;Meogartha;966;Meogartha;1.000000;281;Giant Metallic Hearts of Iron Divider
2;Far South Infernum's Castle 4;1;Far South Infernum's Castle 4;1.000000;282;Snowdonia
3;Far South Infernum's Castle 4;1;Far South Infernum's Castle 4;1.000000;282;Snowdonia
4;Far South Infernum's Castle 4;1;Far South Infernum's Castle 4;1.000000;282;Snowdonia
5;Far South Infernum's Castle 4;1;Far South Infernum's Castle 4;1.000000;282;Snowdonia
6;Far South Infernum's Castle 4;1;Far South Infernum's Castle 4;1.000000;282;Snowdonia
7;Far South Infernum's Castle 4;1;Far South Infernum's Castle 4;1.000000;282;Snowdonia
8;South Fleupport;463;South Fleupport;1.000000;282;Snowdonia
9;South Fleupport;463;South Fleupport;1.000000;282;Snowdonia
10;South Fleupport;463;South Fleupport;1.000000;282;Snowdonia
11;South Fleupport;463;South Fleupport;1.000000;282;Snowdonia
12;South Fleupport;463;South Fleupport;1.000000;282;Snowdonia
13;South Fleupport;463;South Fleupport;1.000000;282;Snowdonia
14;South Fleupport;463;South Fleupport;1.000000;282;Snowdonia
15;South Fleupport;463;South Fleupport;0.992863;282;Snowdonia
16;Far South Infernum's Castle 3;457;Far South Infernum's Castle 3;1.000000;282;Snowdonia
17;Far South Infernum's Castle 3;457;Far South Infernum's Castle 3;1.000000;282;Snowdonia
18;South Ciptol;464;South Ciptol;1.000000;282;Snowdonia
19;South Ciptol;464;South Ciptol;1.000000;282;Snowdonia
20;South Ciptol;464;South Ciptol;1.000000;282;Snowdonia
21;South Pico;465;South Pico;1.000000;282;Snowdonia
22;South Pico;465;South Pico;1.000000;282;Snowdonia
23;North Southern Ice Cap;462;North Southern Ice Cap;1.000000;282;Snowdonia
24;North Southern Ice Cap;462;North Southern Ice Cap;1.000000;282;Snowdonia
25;East Meogartha;461;East Meogartha;1.000000;282;Snowdonia
26;South Westpaw;458;South Westpaw;1.000000;282;Snowdonia
27;South Westpaw;458;South Westpaw;1.000000;282;Snowdonia
28;Sebowlia;460;Sebowlia;1.000000;282;Snowdonia
29;Fleupport;3;Fleupport;1.000000;262;Polarian Islands
30;Fleupport;3;Fleupport;1.000000;262;Polarian Islands
31;Fleupport;3;Fleupport;1.000000;262;Polarian Islands
32;Fleupport;3;Fleupport;1.000000;262;Polarian Islands
33;New Iantrus;5;New Iantrus;1.000000;388;Mercurian Panhandle
34;New Iantrus;5;New Iantrus;1.000000;388;Mercurian Panhandle
35;New Iantrus;5;New Iantrus;1.000000;388;Mercurian Panhandle
36;New Iantrus;5;New Iantrus;1.000000;388;Mercurian Panhandle
37;New Iantrus;5;New Iantrus;1.000000;388;Mercurian Panhandle
38;New Iantrus;5;New Iantrus;1.000000;388;Mercurian Panhandle
39;New Iantrus;5;New Iantrus;1.000000;388;Mercurian Panhandle
40;Far West Westpaw 3;1297;Far West Westpaw 3;1.000000;387;Mercurian Mountains
41;Far South Infernum's Castle;1304;Far South Infernum's Castle;0.714286;387;Mercurian Mountains
42;Far West Westpaw 3;1297;Far West Westpaw 3;1.000000;387;Mercurian Mountains
43;Far South Infernum's Castle;1304;Far South Infernum's Castle;1.000000;387;Mercurian Mountains
44;Far West Westpaw 3;1297;Far West Westpaw 3;1.000000;387;Mercurian Mountains
45;Far West Westpaw 3;1297;Far West Westpaw 3;1.000000;387;Mercurian Mountains
46;Naval Hub;1305;Naval Hub;1.000000;388;Mercurian Panhandle
47;Naval Hub;1305;Naval Hub;1.000000;388;Mercurian Panhandle
48;Naval Hub;1305;Naval Hub;1.000000;388;Mercurian Panhandle
49;Naval Hub;1305;Naval Hub;1.000000;388;Mercurian Panhandle
50;Ciptol;1311;Ciptol;1.000000;262;Polarian Islands
51;Quantus Hub;1291;Quantus Hub;1.000000;388;Mercurian Panhandle
52;Quantus Hub;1291;Quantus Hub;1.000000;388;Mercurian Panhandle
53;Quantus Hub;1291;Quantus Hub;1.000000;388;Mercurian Panhandle
54;Quantus Hub;1291;Quantus Hub;1.000000;388;Mercurian Panhandle
55;Far South Infernum's Castle;1304;Far South Infernum's Castle;1.000000;387;Mercurian Mountains
56;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
57;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
58;Far West Westpaw 3;1297;Far West Westpaw 3;1.000000;387;Mercurian Mountains
59;Far West Westpaw 3;1297;Far West Westpaw 3;1.000000;387;Mercurian Mountains
60;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
61;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
62;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
63;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
64;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
65;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
66;Gorskzableg;1299;Gorskzableg;1.000000;387;Mercurian Mountains
67;Near South Infernum's Castle;1298;Near South Infernum's Castle;1.000000;386;Great Grove Ridge
68;South Infernum's Castle;1301;South Infernum's Castle;1.000000;386;Great Grove Ridge
69;South Infernum's Castle;1301;South Infernum's Castle;1.000000;386;Great Grove Ridge
70;South Infernum's Castle;1301;South Infernum's Castle;1.000000;386;Great Grove Ridge
71;South Infernum's Castle;1301;South Infernum's Castle;1.000000;386;Great Grove Ridge
72;South Infernum's Castle;1301;South Infernum's Castle;1.000000;386;Great Grove Ridge
73;South Infernum's Castle;1301;South Infernum's Castle;1.000000;386;Great Grove Ridge
74;Near South Infernum's Castle;1298;Near South Infernum's Castle;1.000000;386;Great Grove Ridge
75;Near South Infernum's Castle;1298;Near South Infernum's Castle;1.000000;386;Great Grove Ridge
76;Near South Infernum's Castle;1298;Near South Infernum's Castle;1.000000;386;Great Grove Ridge
77;Near South Infernum's Castle;1298;Near South Infernum's Castle;1.000000;386;Great Grove Ridge
78;West Westpaw;1294;West Westpaw;1.000000;387;Mercurian Mountains
