eu4_region;internal_key;display_name;hoi4_strategic_region_id;hoi4_strategic_region_name;area_count
1;fu_strategic_region_1;Flusionea;1;Flusionea;8
2;fu_strategic_region_347;Midflusionea6;347;Midflusionea6;6
3;fu_strategic_region_2;Greater Katown;2;Greater Katown;6
4;fu_strategic_region_3;Meop;3;Meop;6
5;fu_strategic_region_4;Tarrakis;4;Tarrakis;2
6;fu_strategic_region_134;East Pawcific;134;East Pawcific;1
7;fu_strategic_region_5;Meowemberg;5;Meowemberg;3
8;fu_strategic_region_270;Pawcific-Katlantic Ridge;270;Pawcific-Katlantic Ridge;1
9;fu_strategic_region_6;Angilian Peninsula;6;Angilian Peninsula;2
10;fu_strategic_region_135;West Katlantic;135;West Katlantic;1
11;fu_strategic_region_7;Blasterian Canal;7;Blasterian Canal;8
12;fu_strategic_region_8;Cutelogne;8;Cutelogne;6
13;fu_strategic_region_11;Pouchkinn Plains;11;Pouchkinn Plains;8
14;fu_strategic_region_9;Pawris;9;Pawris;3
15;fu_strategic_region_12;Pawmur-Clawtoust;12;Pawmur-Clawtoust;7
16;fu_strategic_region_10;Pawmalay;10;Pawmalay;8
17;fu_strategic_region_14;Clermeowth;14;Clermeowth;8
18;fu_strategic_region_16;Auralia;16;Auralia;7
19;fu_strategic_region_15;Elowia;15;Elowia;6
20;fu_strategic_region_26;Northern Katzen Mountains;26;Northern Katzen Mountains;6
21;fu_strategic_region_17;Meopinstaat;17;Meopinstaat;4
22;fu_strategic_region_26_2;Northern Katzen Mountains;26;Northern Katzen Mountains;4
23;fu_strategic_region_18;Frankfurr;18;Frankfurr;7
24;fu_strategic_region_29;Furrballeares;29;Furrballeares;1
25;fu_strategic_region_19;Purrsia;19;Purrsia;7
26;fu_strategic_region_20;Neu-Kibbles;20;Neu-Kibbles;7
27;fu_strategic_region_21;Pawscow;21;Pawscow;4
28;fu_strategic_region_138;Eastern Sun Sea;138;Eastern Sun Sea;3
29;fu_strategic_region_22;Northern Sobakiland;22;Northern Sobakiland;6
30;fu_strategic_region_22_2;Northern Sobakiland;22;Northern Sobakiland;3
31;fu_strategic_region_137;Northeastern Sun Sea;137;Northeastern Sun Sea;2
32;fu_strategic_region_23;Ostkreuz;23;Ostkreuz;6
33;fu_strategic_region_147;Highest Sea;147;Highest Sea;1
34;fu_strategic_region_52;Low Sea;52;Low Sea;2
35;fu_strategic_region_30;Itchiloo;30;Itchiloo;6
36;fu_strategic_region_25;Tailsbaden;25;Tailsbaden;7
37;fu_strategic_region_30_2;Itchiloo;30;Itchiloo;3
38;fu_strategic_region_27;Los Kibbles;27;Los Kibbles;7
39;fu_strategic_region_28;Feline Sea;28;Feline Sea;2
40;fu_strategic_region_31;Lionsburg;31;Lionsburg;6
41;fu_strategic_region_31_2;Lionsburg;31;Lionsburg;2
42;fu_strategic_region_101;Roqualian Approaches;101;Roqualian Approaches;1
43;fu_strategic_region_31_3;Lionsburg;31;Lionsburg;3
44;fu_strategic_region_32;Neu-Mewxico;32;Neu-Mewxico;9
45;fu_strategic_region_102;Solakatzen Channel;102;Solakatzen Channel;1
46;fu_strategic_region_40;Meowfelde;40;Meowfelde;10
47;fu_strategic_region_131;Nitros;131;Nitros;6
48;fu_strategic_region_131_2;Nitros;131;Nitros;3
49;fu_strategic_region_131_3;Nitros;131;Nitros;5
50;fu_strategic_region_131_4;Nitros;131;Nitros;2
51;fu_strategic_region_131_5;Nitros;131;Nitros;1
52;fu_strategic_region_35;Bryumen;35;Bryumen;7
53;fu_strategic_region_139;Kastran Approaches;139;Kastran Approaches;1
54;fu_strategic_region_35_2;Bryumen;35;Bryumen;4
55;fu_strategic_region_37;Solagnaw;37;Solagnaw;6
56;fu_strategic_region_36;Katzen Hills;36;Katzen Hills;7
57;fu_strategic_region_36_2;Katzen Hills;36;Katzen Hills;7
58;fu_strategic_region_38;Meownich;38;Meownich;7
59;fu_strategic_region_43;Lionita;43;Lionita;6
60;fu_strategic_region_39;Catburg;39;Catburg;9
61;fu_strategic_region_41;Feline Frontier;41;Feline Frontier;6
62;fu_strategic_region_42;Gruyettburg;42;Gruyettburg;4
63;fu_strategic_region_42_2;Gruyettburg;42;Gruyettburg;1
64;fu_strategic_region_44;Catpine Range;44;Catpine Range;8
65;fu_strategic_region_45;Struken;45;Struken;4
66;fu_strategic_region_46;Felinda;46;Felinda;3
67;fu_strategic_region_123;Ezikatzen Sea;123;Ezikatzen Sea;2
68;fu_strategic_region_48;Ezikanien;48;Ezikanien;10
69;fu_strategic_region_49;Mediamus;49;Mediamus;4
70;fu_strategic_region_124;Fishy Pass;124;Fishy Pass;2
71;fu_strategic_region_273;Central Katlantic;273;Central Katlantic;2
72;fu_strategic_region_54;Kusnurkia;54;Kusnurkia;5
73;fu_strategic_region_51;Feline Gulf;51;Feline Gulf;2
74;fu_strategic_region_63;Pegasia;63;Pegasia;6
75;fu_strategic_region_55;Gallopia;55;Gallopia;6
76;fu_strategic_region_56;Solaria;56;Solaria;6
77;fu_strategic_region_57;Goatlandia;57;Goatlandia;5
78;fu_strategic_region_57_2;Goatlandia;57;Goatlandia;1
79;fu_strategic_region_57_3;Goatlandia;57;Goatlandia;3
80;fu_strategic_region_58;Lesser Lake;58;Lesser Lake;6
81;fu_strategic_region_77;Eastern Solakean Sea;77;Eastern Solakean Sea;3
82;fu_strategic_region_59;Midi-Vidanie;59;Midi-Vidanie;3
83;fu_strategic_region_60;Pink Sea;60;Pink Sea;1
84;fu_strategic_region_61;Louquiobitumittie;61;Louquiobitumittie;6
85;fu_strategic_region_61_2;Louquiobitumittie;61;Louquiobitumittie;4
