province_id;hoi4_terrain;eu4_terrain_index
1;frozen;16
2;mountain;6
3;frozen;16
4;frozen;16
5;frozen;16
6;frozen;16
7;frozen;16
8;plains;4
9;mountain;6
10;frozen;16
11;frozen;16
12;frozen;16
13;plains;4
14;plains;4
15;frozen;16
16;plains;4
17;mountain;6
18;plains;4
19;frozen;16
20;frozen;16
21;mountain;6
22;frozen;16
23;frozen;16
24;mountain;6
25;plains;4
26;frozen;16
27;frozen;16
28;forest;12
29;mountain;6
30;frozen;16
31;frozen;16
32;hills;1
33;frozen;16
34;frozen;16
35;frozen;16
36;plains;4
37;mountain;6
38;frozen;16
39;frozen;16
40;frozen;16
41;frozen;16
42;mountain;6
43;frozen;16
44;mountain;6
45;hills;1
46;frozen;16
47;hills;1
48;forest;12
49;frozen;16
50;frozen;16
51;frozen;16
52;frozen;16
53;frozen;16
54;mountain;6
55;frozen;16
56;frozen;16
57;hills;1
58;frozen;16
59;frozen;16
60;plains;4
61;frozen;16
62;mountain;6
63;forest;12
64;mountain;6
65;hills;1
66;forest;12
67;ocean;15
68;frozen;16
69;frozen;16
70;plains;4
71;frozen;16
72;mountain;6
73;plains;4
74;frozen;16
75;ocean;15
76;frozen;16
77;frozen;16
78;mountain;6
79;frozen;16
80;frozen;16
81;frozen;16
82;frozen;16
83;mountain;6
84;mountain;6
85;mountain;6
86;urban;10
87;frozen;16
88;hills;1
89;frozen;16
90;plains;4
91;mountain;6
92;frozen;16
93;hills;1
94;frozen;16
95;frozen;16
96;frozen;16
97;frozen;16
98;frozen;16
99;frozen;16
100;plains;4
101;urban;10
102;frozen;16
103;frozen;16
104;hills;1
105;frozen;16
106;urban;10
107;frozen;16
108;plains;4
109;mountain;6
110;forest;12
111;frozen;16
112;frozen;16
113;frozen;16
114;mountain;6
115;frozen;16
116;frozen;16
117;frozen;16
118;frozen;16
119;frozen;16
120;plains;4
121;mountain;6
122;mountain;6
123;mountain;6
124;forest;12
125;frozen;16
126;urban;10
127;frozen;16
128;plains;4
129;plains;4
130;mountain;6
131;mountain;6
132;frozen;16
133;mountain;6
134;frozen;16
135;hills;1
136;frozen;16
137;urban;10
138;mountain;6
139;ocean;15
140;frozen;16
141;mountain;6
142;ocean;15
143;mountain;6
144;frozen;16
145;mountain;6
146;forest;12
147;frozen;16
148;plains;4
149;frozen;16
150;mountain;6
151;frozen;16
152;frozen;16
153;frozen;16
154;mountain;6
155;frozen;16
156;hills;1
157;frozen;16
158;frozen;16
159;frozen;16
160;frozen;16
161;frozen;16
162;frozen;16
163;plains;4
164;plains;4
165;frozen;16
166;ocean;15
167;hills;1
168;frozen;16
169;frozen;16
170;plains;4
171;frozen;16
172;mountain;6
173;mountain;6
174;frozen;16
175;frozen;16
176;mountain;6
177;frozen;16
178;frozen;16
179;urban;10
180;plains;4
181;plains;4
182;frozen;16
183;mountain;6
184;ocean;15
185;mountain;6
186;frozen;16
187;frozen;16
188;hills;1
189;mountain;6
190;mountain;6
191;frozen;16
192;plains;4
193;plains;4
194;frozen;16
195;mountain;6
196;mountain;6
197;mountain;6
198;frozen;16
199;urban;10
200;frozen;16
201;mountain;6
202;plains;4
203;plains;4
204;frozen;16
205;frozen;16
206;frozen;16
207;frozen;16
208;frozen;16
209;plains;4
210;plains;4
211;forest;12
212;frozen;16
213;mountain;6
214;ocean;15
215;plains;4
216;plains;4
217;mountain;6
218;ocean;15
219;frozen;16
220;frozen;16
221;mountain;6
222;frozen;16
223;plains;4
224;ocean;15
225;frozen;16
226;plains;4
227;frozen;16
228;mountain;6
229;ocean;15
230;mountain;6
231;ocean;15
232;urban;10
233;forest;12
234;urban;10
235;plains;4
236;mountain;6
237;frozen;16
238;frozen;16
239;frozen;16
240;ocean;15
241;plains;4
242;frozen;16
243;mountain;6
244;frozen;16
245;frozen;16
246;frozen;16
247;plains;4
248;frozen;16
249;frozen;16
250;mountain;6
251;plains;4
252;ocean;15
253;mountain;6
254;hills;1
255;mountain;6
256;ocean;15
257;frozen;16
258;lakes;17
259;ocean;15
260;frozen;16
261;hills;1
262;ocean;15
263;plains;4
264;plains;4
265;plains;4
266;ocean;15
267;ocean;15
268;ocean;15
269;mountain;6
270;ocean;15
271;forest;12
272;frozen;16
273;frozen;16
274;hills;1
275;mountain;6
276;frozen;16
277;ocean;15
278;hills;1
279;ocean;15
280;mountain;6
281;ocean;15
282;mountain;6
283;ocean;15
284;plains;4
285;frozen;16
286;mountain;6
287;frozen;16
288;lakes;17
289;mountain;6
290;mountain;6
291;mountain;6
292;mountain;6
293;ocean;15
294;ocean;15
295;mountain;6
296;frozen;16
